SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
SNORA11B	100124539	SNORA11B	SNORA11B	ENSG00000221102	33620	14	14q32.11	"small nucleolar RNA, H/ACA box 11B"	snoRNA	SNORA11B|100124539_calculated	merged_SNORA11B|100124539_calculated	SNORA11B_ENSG00000221102	SNORA11B_ENSG00000221102
SNORA11C	100124540	SNORA11C	SNORA11C	ENSG00000221459	33621	X	Xp11.3	"small nucleolar RNA, H/ACA box 11C"	snoRNA	SNORA11C|100124540_calculated	merged_SNORA11C|100124540_calculated	SNORA11C_ENSG00000221459	SNORA11C_ENSG00000221459
SNORA11D	100124541	SNORA11D	SNORA11D	ENSG00000221475	33622	X	Xp11.22	"small nucleolar RNA, H/ACA box 11D"	snoRNA	SNORA11D|100124541|1of2_calculated	merged_SNORA11D|100124541|1of2_calculated	SNORA11D_ENSG00000221475	SNORA11D_ENSG00000221475
SNORA12	677800	SNORA12	SNORA12	ENSG00000212464	32600	10	10q24.31	"small nucleolar RNA, H/ACA box 12"	snoRNA	SNORA12|677800_calculated	merged_SNORA12|677800_calculated	SNORA12_ENSG00000212464	SNORA12_ENSG00000212464
SNORA13	654322	SNORA13	SNORA13	ENSG00000238363	32601	5	5q22.1	"small nucleolar RNA, H/ACA box 13"	snoRNA	SNORA13|654322_calculated	merged_SNORA13|654322_calculated	SNORA13_ENSG00000238363	SNORA13_ENSG00000238363
SNORA14A	677801	SNORA14A	SNORA14A	ENSG00000201643	32602	7	7q11.23	"small nucleolar RNA, H/ACA box 14A"	snoRNA	SNORA14A|677801_calculated	merged_SNORA14A|677801_calculated	SNORA14A_ENSG00000201643	SNORA14A_ENSG00000201643
SNORA14B	677802	SNORA14B	SNORA14B	ENSG00000207181	32603	1	1q42.3	"small nucleolar RNA, H/ACA box 14B"	snoRNA	SNORA14B|677802_calculated	merged_SNORA14B|677802_calculated	SNORA14B_ENSG00000207181	SNORA14B_ENSG00000207181
SNORA15	677803	SNORA15	SNORA15	ENSG00000207168	32604	7	7p11.2	"small nucleolar RNA, H/ACA box 15"	snoRNA	SNORA15|677803_calculated	merged_SNORA15|677803_calculated	SNORA15_ENSG00000207168	SNORA15_ENSG00000207168
SNORA16B	692157	SNORA16B	SNORA16B	ENSG00000201544	32606	1	1q32.3	"small nucleolar RNA, H/ACA box 16B"	snoRNA	SNORA16B|692157_calculated	merged_SNORA16B|692157_calculated	SNORA16B_ENSG00000201544	SNORA16B_ENSG00000201544
SNORA18	677805	SNORA18	SNORA18	ENSG00000207145	32608	11	11q21	"small nucleolar RNA, H/ACA box 18"	snoRNA	SNORA18|677805_calculated	merged_SNORA18|677805_calculated	SNORA18_ENSG00000207145	SNORA18_ENSG00000207145
SNORA19	641451	SNORA19	SNORA19	ENSG00000207468	32609	10	10q26.11	"small nucleolar RNA, H/ACA box 19"	snoRNA	SNORA19|641451_calculated	merged_SNORA19|641451_calculated	SNORA19_ENSG00000207468	SNORA19_ENSG00000207468
SNORA20	677806	SNORA20	SNORA20	ENSG00000207392	32610	6	6q25.3	"small nucleolar RNA, H/ACA box 20"	snoRNA	SNORA20|677806_calculated	merged_SNORA20|677806_calculated	SNORA20_ENSG00000207392	SNORA20_ENSG00000207392
SNORA21	619505	SNORA21	SNORA21	ENSG00000199293	32611	17	17q12	"small nucleolar RNA, H/ACA box 21"	snoRNA	SNORA21|619505_calculated	merged_SNORA21|619505_calculated	SNORA21_ENSG00000199293	SNORA21_ENSG00000199293
SNORA22	677807	SNORA22	SNORA22	ENSG00000206634	32612	7	7q11.21	"small nucleolar RNA, H/ACA box 22"	snoRNA	SNORA22|677807_calculated	merged_SNORA22|677807_calculated	SNORA22_ENSG00000206634	SNORA22_ENSG00000206634
SNORA23	677808	SNORA23	SNORA23	ENSG00000201998	32613	11	11p15.4	"small nucleolar RNA, H/ACA box 23"	snoRNA	SNORA23|677808_calculated	merged_SNORA23|677808_calculated	SNORA23_ENSG00000201998	SNORA23_ENSG00000201998
SNORA25	684959	SNORA25	SNORA25	ENSG00000207112	32615	11	11q21	"small nucleolar RNA, H/ACA box 25"	snoRNA	SNORA25|684959_calculated	merged_SNORA25|684959_calculated	SNORA25_ENSG00000207112	SNORA25_ENSG00000207112
SNORA26	677810	SNORA26	SNORA26	ENSG00000212588	32616	4	4q12	"small nucleolar RNA, H/ACA box 26"	snoRNA	SNORA26|677810_calculated	merged_SNORA26|677810_calculated	SNORA26_ENSG00000212588	SNORA26_ENSG00000212588
SNORA27	619499	SNORA27	SNORA27	ENSG00000207051	32617	13	13q12.2	"small nucleolar RNA, H/ACA box 27"	snoRNA	SNORA27|619499_calculated	merged_SNORA27|619499_calculated	SNORA27_ENSG00000207051	SNORA27_ENSG00000207051
SNORA29	677812	SNORA29	SNORA29	ENSG00000206910	32619	6	6q25.3	"small nucleolar RNA, H/ACA box 29"	snoRNA	SNORA29|677812_calculated	merged_SNORA29|677812_calculated	SNORA29_ENSG00000206910	SNORA29_ENSG00000206910
SNORA2A	677793	SNORA2A	SNORA2A	ENSG00000206612	32584	12	12q13.11	"small nucleolar RNA, H/ACA box 2A"	snoRNA	SNORA2A|677793_calculated	merged_SNORA2A|677793_calculated	SNORA2A_ENSG00000206612	SNORA2A_ENSG00000206612
SNORA2B	677794	SNORA2B	SNORA2B	ENSG00000207313	32585	12	12q13.11	"small nucleolar RNA, H/ACA box 2B"	snoRNA	SNORA2B|677794_calculated	merged_SNORA2B|677794_calculated	SNORA2B_ENSG00000207313	SNORA2B_ENSG00000207313
SNORA30	677813	SNORA30	SNORA30	ENSG00000206755	32620	16	16p11.2	"small nucleolar RNA, H/ACA box 30"	snoRNA	SNORA30|677813_calculated	merged_SNORA30|677813_calculated	SNORA30_ENSG00000206755	SNORA30_ENSG00000206755
SNORA31	677814	SNORA31	SNORA31	ENSG00000199477	32621	13	13q14.13	"small nucleolar RNA, H/ACA box 31"	snoRNA	SNORA31|677814_calculated	merged_SNORA31|677814_calculated	SNORA31_ENSG00000199477	SNORA31_ENSG00000199477
SNORA32	692063	SNORA32	SNORA32	ENSG00000206799	32622	11	11q21	"small nucleolar RNA, H/ACA box 32"	snoRNA	SNORA32|692063_calculated	merged_SNORA32|692063_calculated	SNORA32_ENSG00000206799	SNORA32_ENSG00000206799
SNORA34	677815	SNORA2C	SNORA2C	ENSG00000221491	32624	12	12q13.11	"small nucleolar RNA, H/ACA box 2C"	snoRNA	SNORA34|677815_calculated	merged_SNORA34|677815_calculated	SNORA2C_ENSG00000221491	SNORA34_ENSG00000221491
SNORA35	677816	SNORA35	SNORA35	ENSG00000208839	32625	X	Xq23	"small nucleolar RNA, H/ACA box 35"	snoRNA	SNORA35|677816_calculated	merged_SNORA35|677816_calculated	SNORA35_ENSG00000208839	SNORA35_ENSG00000208839
SNORA36A	677817	SNORA36A	SNORA36A	ENSG00000206948	32628	X	Xq28	"small nucleolar RNA, H/ACA box 36A"	snoRNA	SNORA36A|677817_calculated	merged_SNORA36A|677817_calculated	SNORA36A_ENSG00000206948	SNORA36A_ENSG00000206948
SNORA36B	677818	SNORA36B	SNORA36B	ENSG00000222370	32629	1	1q41	"small nucleolar RNA, H/ACA box 36B"	snoRNA	SNORA36B|677818_calculated	merged_SNORA36B|677818_calculated	SNORA36B_ENSG00000222370	SNORA36B_ENSG00000222370
SNORA36C	100124535	SNORA36C	SNORA36C	ENSG00000207016	33616	2	2p13.3	"small nucleolar RNA, H/ACA box 36C"	snoRNA	SNORA36C|100124535_calculated	merged_SNORA36C|100124535_calculated	SNORA36C_ENSG00000207016	SNORA36C_ENSG00000207016
SNORA37	677819	SNORA37	SNORA37	ENSG00000207233	32630	18	18q21.2	"small nucleolar RNA, H/ACA box 37"	snoRNA	SNORA37|677819_calculated	merged_SNORA37|677819_calculated	SNORA37_ENSG00000207233	SNORA37_ENSG00000207233
SNORA38	677820	SNORA38	SNORA38	ENSG00000200816	32631	6	6p21.33	"small nucleolar RNA, H/ACA box 38"	snoRNA	SNORA38|677820_calculated	merged_SNORA38|677820_calculated	SNORA38_ENSG00000200816	SNORA38_ENSG00000200816
SNORA38B	100124536	SNORA38B	SNORA38B	ENSG00000200394	33617	17	17q24.2	"small nucleolar RNA, H/ACA box 38B"	snoRNA	SNORA38B|100124536_calculated	merged_SNORA38B|100124536_calculated	SNORA38B_ENSG00000200394	SNORA38B_ENSG00000200394
SNORA40	677822	SNORA40	SNORA40	ENSG00000210825	32633	11	11q21	"small nucleolar RNA, H/ACA box 40"	snoRNA	SNORA40|677822_calculated	merged_SNORA40|677822_calculated	SNORA40_ENSG00000210825	SNORA40_ENSG00000210825
SNORA41	619569	SNORA41	SNORA41	ENSG00000207406	32634	2	2q33.3	"small nucleolar RNA, H/ACA box 41"	snoRNA	SNORA41|619569_calculated	merged_SNORA41|619569_calculated	SNORA41_ENSG00000207406	SNORA41_ENSG00000207406
SNORA46	677827	SNORA46	SNORA46	ENSG00000207493	32639	16	16q21	"small nucleolar RNA, H/ACA box 46"	snoRNA	SNORA46|677827_calculated	merged_SNORA46|677827_calculated	SNORA46_ENSG00000207493	SNORA46_ENSG00000207493
SNORA47	677828	SNORA47	SNORA47	ENSG00000238961	32640	5	5q13.3	"small nucleolar RNA, H/ACA box 47"	snoRNA	SNORA47|677828_calculated	merged_SNORA47|677828_calculated	SNORA47_ENSG00000238961	SNORA47_ENSG00000238961
SNORA48	652965	SNORA48	SNORA48	ENSG00000209582	32641	17	17p13.1	"small nucleolar RNA, H/ACA box 48"	snoRNA	SNORA48|652965_calculated	merged_SNORA48|652965_calculated	SNORA48_ENSG00000209582	SNORA48_ENSG00000209582
SNORA49	677829	SNORA49	SNORA49	ENSG00000208892	32642	12	12q24.33	"small nucleolar RNA, H/ACA box 49"	snoRNA	SNORA49|677829_calculated	merged_SNORA49|677829_calculated	SNORA49_ENSG00000208892	SNORA49_ENSG00000208892
SNORA52	619565	SNORA52	SNORA52	ENSG00000199785	32645	11	11p15.5	"small nucleolar RNA, H/ACA box 52"	snoRNA	SNORA52|619565_calculated	merged_SNORA52|619565_calculated	SNORA52_ENSG00000199785	SNORA52_ENSG00000199785
SNORA53	677832	SNORA53	SNORA53	ENSG00000212443	32646	12	12q23.1	"small nucleolar RNA, H/ACA box 53"	snoRNA	SNORA53|677832_calculated	merged_SNORA53|677832_calculated	SNORA53_ENSG00000212443	SNORA53_ENSG00000212443
SNORA54	677833	SNORA54	SNORA54	ENSG00000207008	32647	11	11p15.4	"small nucleolar RNA, H/ACA box 54"	snoRNA	SNORA54|677833_calculated	merged_SNORA54|677833_calculated	SNORA54_ENSG00000207008	SNORA54_ENSG00000207008
SNORA55	677834	SNORA55	SNORA55	ENSG00000201457	32649	1	1p34.3	"small nucleolar RNA, H/ACA box 55"	snoRNA	SNORA55|677834_calculated	merged_SNORA55|677834_calculated	SNORA55_ENSG00000201457	SNORA55_ENSG00000201457
SNORA56	677835	SNORA56	SNORA56	ENSG00000206693	32650	X	Xq28	"small nucleolar RNA, H/ACA box 56"	snoRNA	SNORA56|677835_calculated	merged_SNORA56|677835_calculated	SNORA56_ENSG00000206693	SNORA56_ENSG00000206693
SNORA57	692158	SNORA57	SNORA57	ENSG00000206597	32651	11	11q12.3	"small nucleolar RNA, H/ACA box 57"	snoRNA	SNORA57|692158_calculated	merged_SNORA57|692158_calculated	SNORA57_ENSG00000206597	SNORA57_ENSG00000206597
SNORA58	677836	SNORA58	SNORA58	ENSG00000249020	32652	3	3q22.1	"small nucleolar RNA, H/ACA box 58"	snoRNA	SNORA58|677836_calculated	merged_SNORA58|677836_calculated	SNORA58_ENSG00000249020	SNORA58_ENSG00000249020
SNORA5A	654319	SNORA5A	SNORA5A	ENSG00000206838	32588	7	7p13	"small nucleolar RNA, H/ACA box 5A"	snoRNA	SNORA5A|654319_calculated	merged_SNORA5A|654319_calculated	SNORA5A_ENSG00000206838	SNORA5A_ENSG00000206838
SNORA5B	677795	SNORA5B	SNORA5B	ENSG00000200656	32589	7	7p13	"small nucleolar RNA, H/ACA box 5B"	snoRNA	SNORA5B|677795_calculated	merged_SNORA5B|677795_calculated	SNORA5B_ENSG00000200656	SNORA5B_ENSG00000200656
SNORA5C	677796	SNORA5C	SNORA5C	ENSG00000201772	32590	7	7p13	"small nucleolar RNA, H/ACA box 5C"	snoRNA	SNORA5C|677796_calculated	merged_SNORA5C|677796_calculated	SNORA5C_ENSG00000201772	SNORA5C_ENSG00000201772
SNORA6	574040	SNORA6	SNORA6	ENSG00000206760	32591	3	3p22.1	"small nucleolar RNA, H/ACA box 6"	snoRNA	SNORA6|574040_calculated	merged_SNORA6|574040_calculated	SNORA6_ENSG00000206760	SNORA6_ENSG00000206760
SNORA62	6044	SNORA62	SNORA62	ENSG00000202363	10107	3	3p22.1	"small nucleolar RNA, H/ACA box 62"	snoRNA	SNORA62|6044_calculated	merged_SNORA62|6044_calculated	SNORA62_ENSG00000202363	SNORA62_ENSG00000202363
SNORA63	6043	SNORA63	SNORA63	ENSG00000200320	10106	3	3q27.3	"small nucleolar RNA, H/ACA box 63"	snoRNA	SNORA63|6043_calculated	merged_SNORA63|6043_calculated	SNORA63_ENSG00000200320	SNORA63_ENSG00000200320
SNORA64	26784	SNORA64	SNORA64	ENSG00000207405	10221	16	16p13.3	"small nucleolar RNA, H/ACA box 64"	snoRNA	SNORA64|26784_calculated	merged_SNORA64|26784_calculated	SNORA64_ENSG00000207405	SNORA64_ENSG00000207405
SNORA65	26783	SNORA65	SNORA65	ENSG00000201302	10222	9	9q33.3	"small nucleolar RNA, H/ACA box 65"	snoRNA	SNORA65|26783_calculated	merged_SNORA65|26783_calculated	SNORA65_ENSG00000201302	SNORA65_ENSG00000201302
SNORA66	26782	SNORA66	SNORA66	ENSG00000207523	10223	1	1p22.1	"small nucleolar RNA, H/ACA box 66"	snoRNA	SNORA66|26782_calculated	merged_SNORA66|26782_calculated	SNORA66_ENSG00000207523	SNORA66_ENSG00000207523
SNORA68	26780	SNORA68	SNORA68	ENSG00000207166	10225	19	19p13.11	"small nucleolar RNA, H/ACA box 68"	snoRNA	SNORA68|26780_calculated	merged_SNORA68|26780_calculated	SNORA68_ENSG00000207166	SNORA68_ENSG00000207166
SNORA69	26779	SNORA69	SNORA69	ENSG00000206622	10226	X	Xq24	"small nucleolar RNA, H/ACA box 69"	snoRNA	SNORA69|26779_calculated	merged_SNORA69|26779_calculated	SNORA69_ENSG00000206622	SNORA69_ENSG00000206622
SNORA70	26778	SNORA70	SNORA70	ENSG00000207165	10231	X	Xq28	"small nucleolar RNA, H/ACA box 70"	snoRNA	SNORA70|26778_calculated	merged_SNORA70|26778_calculated	SNORA70_ENSG00000207165	SNORA70_ENSG00000207165
SNORA70B	100124537	SNORA70B	SNORA70B	ENSG00000206937	33618	2	2p15	"small nucleolar RNA, H/ACA box 70B"	snoRNA	SNORA70B|100124537_calculated	merged_SNORA70B|100124537_calculated	SNORA70B_ENSG00000206937	SNORA70B_ENSG00000206937
SNORA70C	100124538	SNORA70C	SNORA70C	ENSG00000207268	33619	9	9q33.1	"small nucleolar RNA, H/ACA box 70C"	snoRNA	SNORA70C|100124538_calculated	merged_SNORA70C|100124538_calculated	SNORA70C_ENSG00000207268	SNORA70C_ENSG00000207268
SNORA71A	26777	SNORA71A	SNORA71A	ENSG00000225091	10232	20	20q11.23	"small nucleolar RNA, H/ACA box 71A"	snoRNA	SNORA71A|26777_calculated	merged_SNORA71A|26777_calculated	SNORA71A_ENSG00000225091	SNORA71A_ENSG00000225091
SNORA71B	26776	SNORA71B	SNORA71B	ENSG00000235408	10233	20	20q11.23	"small nucleolar RNA, H/ACA box 71B"	snoRNA	SNORA71B|26776_calculated	merged_SNORA71B|26776_calculated	SNORA71B_ENSG00000235408	SNORA71B_ENSG00000235408
SNORA71C	677839	SNORA71C	SNORA71C	ENSG00000201512	32656	20	20q11.23	"small nucleolar RNA, H/ACA box 71C"	snoRNA	SNORA71C|677839_calculated	merged_SNORA71C|677839_calculated	SNORA71C_ENSG00000201512	SNORA71C_ENSG00000201512
SNORA71D	677840	SNORA71D	SNORA71D	ENSG00000200354	32657	20	20q11.23	"small nucleolar RNA, H/ACA box 71D"	snoRNA	SNORA71D|677840_calculated	merged_SNORA71D|677840_calculated	SNORA71D_ENSG00000200354	SNORA71D_ENSG00000200354
SNORA72	26775	SNORA72	SNORA72	ENSG00000207067	10234	8	8q22.2	"small nucleolar RNA, H/ACA box 72"	snoRNA	SNORA72|26775_calculated	merged_SNORA72|26775_calculated	SNORA72_ENSG00000207067	SNORA72_ENSG00000207067
SNORA74A	26821	SNORA74A	SNORA74A	ENSG00000200959	10119	5	5q31.2	"small nucleolar RNA, H/ACA box 74A"	snoRNA	SNORA74A|26821_calculated	merged_SNORA74A|26821_calculated	SNORA74A_ENSG00000200959	SNORA74A_ENSG00000200959
SNORA75	654321	SNORA75	SNORA75	ENSG00000206885	32661	2	2q37.1	"small nucleolar RNA, H/ACA box 75"	snoRNA	SNORA75|654321_calculated	merged_SNORA75|654321_calculated	SNORA75_ENSG00000206885	SNORA75_ENSG00000206885
SNORA77	677843	SNORA77	SNORA77	ENSG00000221643	32663	1	1q32.1	"small nucleolar RNA, H/ACA box 77"	snoRNA	SNORA77|677843_calculated	merged_SNORA77|677843_calculated	SNORA77_ENSG00000221643	SNORA77_ENSG00000221643
SNORA79	677845	SNORA79	SNORA79	ENSG00000221303	32665	14	14q31.1	"small nucleolar RNA, H/ACA box 79"	snoRNA	SNORA79|677845_calculated	merged_SNORA79|677845_calculated	SNORA79_ENSG00000221303	SNORA79_ENSG00000221303
SNORA7B	677797	SNORA7B	SNORA7B	ENSG00000207088	32593	3	3q21.3	"small nucleolar RNA, H/ACA box 7B"	snoRNA	SNORA7B|677797_calculated	merged_SNORA7B|677797_calculated	SNORA7B_ENSG00000207088	SNORA7B_ENSG00000207088
SNORA8	654320	SNORA8	SNORA8	ENSG00000207304	32596	11	11q21	"small nucleolar RNA, H/ACA box 8"	snoRNA	SNORA8|654320_calculated	merged_SNORA8|654320_calculated	SNORA8_ENSG00000207304	SNORA8_ENSG00000207304
SNORA81	677847	SNORA81	SNORA81	ENSG00000221420	32667	3	3q27.3	"small nucleolar RNA, H/ACA box 81"	snoRNA	SNORA81|677847_calculated	merged_SNORA81|677847_calculated	SNORA81_ENSG00000221420	SNORA81_ENSG00000221420
SNORA84	100124534	SNORA84	SNORA84	ENSG00000239183	33615	9	9q22.31	"small nucleolar RNA, H/ACA box 84"	snoRNA	SNORA84|100124534_calculated	merged_SNORA84|100124534_calculated	SNORA84_ENSG00000239183	SNORA84_ENSG00000239183
SNORD10	652966	SNORD10	SNORD10	ENSG00000238917	32706	17	17p13.1	"small nucleolar RNA, C/D box 10"	snoRNA	SNORD10|652966_calculated	merged_SNORD10|652966_calculated	SNORD10_ENSG00000238917	SNORD10_ENSG00000238917
SNORD102	26771	SNORD102	SNORD102	ENSG00000207500	10099	13	13q12.2	"small nucleolar RNA, C/D box 102"	snoRNA	SNORD102|26771_calculated	merged_SNORD102|26771_calculated	SNORD102_ENSG00000207500	SNORD102_ENSG00000207500
SNORD104	692227	SNORD104	SNORD104	ENSG00000199753	32768	17	17q23.3	"small nucleolar RNA, C/D box 104"	snoRNA	SNORD104|692227_calculated	merged_SNORD104|692227_calculated	SNORD104_ENSG00000199753	SNORD104_ENSG00000199753
SNORD105	692229	SNORD105	SNORD105	ENSG00000209645	32769	19	19p13.2	"small nucleolar RNA, C/D box 105"	snoRNA	SNORD105|692229_calculated	merged_SNORD105|692229_calculated	SNORD105_ENSG00000209645	SNORD105_ENSG00000209645
SNORD105B	100113382	SNORD105B	SNORD105B	ENSG00000238531	33572	19	19p13.2	"small nucleolar RNA, C/D box 105B"	snoRNA	SNORD105B|100113382_calculated	merged_SNORD105B|100113382_calculated	SNORD105B_ENSG00000238531	SNORD105B_ENSG00000238531
SNORD109B	338429	SNORD109B	SNORD109B	ENSG00000239169	32774	15	15q11.2	"small nucleolar RNA, C/D box 109B"	snoRNA	SNORD109B|338429|1of2_calculated	merged_SNORD109B|338429|1of2_calculated	SNORD109B_ENSG00000239169	SNORD109B_ENSG00000239169
SNORD11	692058	SNORD11	SNORD11	ENSG00000238317	32707	2	2q33.1	"small nucleolar RNA, C/D box 11"	snoRNA	SNORD11|692058_calculated	merged_SNORD11|692058_calculated	SNORD11_ENSG00000238317	SNORD11_ENSG00000238317
SNORD110	692213	SNORD110	SNORD110	ENSG00000221116	32775	20	20p13	"small nucleolar RNA, C/D box 110"	snoRNA	SNORD110|692213_calculated	merged_SNORD110|692213_calculated	SNORD110_ENSG00000221116	SNORD110_ENSG00000221116
SNORD111	692214	SNORD111	SNORD111	ENSG00000221066	32776	16	16q22.1	"small nucleolar RNA, C/D box 111"	snoRNA	SNORD111|692214_calculated	merged_SNORD111|692214_calculated	SNORD111_ENSG00000221066	SNORD111_ENSG00000221066
SNORD111B	100113402	SNORD111B	SNORD111B	ENSG00000221514	33579	16	16q22.1	"small nucleolar RNA, C/D box 111B"	snoRNA	SNORD111B|100113402_calculated	merged_SNORD111B|100113402_calculated	SNORD111B_ENSG00000221514	SNORD111B_ENSG00000221514
SNORD113-1	767561	SNORD113-1	SNORD113-1	ENSG00000202191	32980	14	14q32.31	"small nucleolar RNA, C/D box 113-1"	snoRNA	SNORD113-1|767561_calculated	merged_SNORD113-1|767561_calculated	SNORD113-1_ENSG00000202191	SNORD113-1_ENSG00000202191
SNORD113-2	767562	SNORD113-2	SNORD113-2	ENSG00000212384	32981	14	14q32.31	"small nucleolar RNA, C/D box 113-2"	snoRNA	SNORD113-2|767562_calculated	merged_SNORD113-2|767562_calculated	SNORD113-2_ENSG00000212384	SNORD113-2_ENSG00000212384
SNORD113-4	767564	SNORD113-4	SNORD113-4	ENSG00000201672	32983	14	14q32.31	"small nucleolar RNA, C/D box 113-4"	snoRNA	SNORD113-4|767564_calculated	merged_SNORD113-4|767564_calculated	SNORD113-4_ENSG00000201672	SNORD113-4_ENSG00000201672
SNORD113-6	767566	SNORD113-6	SNORD113-6	ENSG00000200215	32985	14	14q32.31	"small nucleolar RNA, C/D box 113-6"	snoRNA	SNORD113-6|767566_calculated	merged_SNORD113-6|767566_calculated	SNORD113-6_ENSG00000200215	SNORD113-6_ENSG00000200215
SNORD113-7	767567	SNORD113-7	SNORD113-7	ENSG00000200632	32986	14	14q32.31	"small nucleolar RNA, C/D box 113-7"	snoRNA	SNORD113-7|767567_calculated	merged_SNORD113-7|767567_calculated	SNORD113-7_ENSG00000200632	SNORD113-7_ENSG00000200632
SNORD113-9	767569	SNORD113-9	SNORD113-9	ENSG00000201950	32988	14	14q32.31	"small nucleolar RNA, C/D box 113-9"	snoRNA	SNORD113-9|767569_calculated	merged_SNORD113-9|767569_calculated	SNORD113-9_ENSG00000201950	SNORD113-9_ENSG00000201950
SNORD114-1	767577	SNORD114-1	SNORD114-1	ENSG00000199575	32989	14	14q32.31	"small nucleolar RNA, C/D box 114-1"	snoRNA	SNORD114-1|767577_calculated	merged_SNORD114-1|767577_calculated	SNORD114-1_ENSG00000199575	SNORD114-1_ENSG00000199575
SNORD114-10	767588	SNORD114-10	SNORD114-10	ENSG00000200279	32998	14	14q32.31	"small nucleolar RNA, C/D box 114-10"	snoRNA	SNORD114-10|767588_calculated	merged_SNORD114-10|767588_calculated	SNORD114-10_ENSG00000200279	SNORD114-10_ENSG00000200279
SNORD114-11	767589	SNORD114-11	SNORD114-11	ENSG00000200608	32999	14	14q32.31	"small nucleolar RNA, C/D box 114-11"	snoRNA	SNORD114-11|767589_calculated	merged_SNORD114-11|767589_calculated	SNORD114-11_ENSG00000200608	SNORD114-11_ENSG00000200608
SNORD114-12	767590	SNORD114-12	SNORD114-12	ENSG00000202270	33000	14	14q32.31	"small nucleolar RNA, C/D box 114-12"	snoRNA	SNORD114-12|767590_calculated	merged_SNORD114-12|767590_calculated	SNORD114-12_ENSG00000202270	SNORD114-12_ENSG00000202270
SNORD114-13	767591	SNORD114-13	SNORD114-13	ENSG00000201247	33001	14	14q32.31	"small nucleolar RNA, C/D box 114-13"	snoRNA	SNORD114-13|767591_calculated	merged_SNORD114-13|767591_calculated	SNORD114-13_ENSG00000201247	SNORD114-13_ENSG00000201247
SNORD114-14	767592	SNORD114-14	SNORD114-14	ENSG00000199593	33002	14	14q32.31	"small nucleolar RNA, C/D box 114-14"	snoRNA	SNORD114-14|767592_calculated	merged_SNORD114-14|767592_calculated	SNORD114-14_ENSG00000199593	SNORD114-14_ENSG00000199593
SNORD114-15	767593	SNORD114-15	SNORD114-15	ENSG00000201557	33003	14	14q32.31	"small nucleolar RNA, C/D box 114-15"	snoRNA	SNORD114-15|767593_calculated	merged_SNORD114-15|767593_calculated	SNORD114-15_ENSG00000201557	SNORD114-15_ENSG00000201557
SNORD114-16	767594	SNORD114-16	SNORD114-16	ENSG00000199914	33004	14	14q32.31	"small nucleolar RNA, C/D box 114-16"	snoRNA	SNORD114-16|767594_calculated	merged_SNORD114-16|767594_calculated	SNORD114-16_ENSG00000199914	SNORD114-16_ENSG00000199914
SNORD114-17	767595	SNORD114-17	SNORD114-17	ENSG00000201569	33005	14	14q32.31	"small nucleolar RNA, C/D box 114-17"	snoRNA	SNORD114-17|767595_calculated	merged_SNORD114-17|767595_calculated	SNORD114-17_ENSG00000201569	SNORD114-17_ENSG00000201569
SNORD114-18	767596	SNORD114-18	SNORD114-18	ENSG00000202142	33006	14	14q32.31	"small nucleolar RNA, C/D box 114-18"	snoRNA	SNORD114-18|767596_calculated	merged_SNORD114-18|767596_calculated	SNORD114-18_ENSG00000202142	SNORD114-18_ENSG00000202142
SNORD114-19	767597	SNORD114-19	SNORD114-19	ENSG00000199942	33007	14	14q32.31	"small nucleolar RNA, C/D box 114-19"	snoRNA	SNORD114-19|767597_calculated	merged_SNORD114-19|767597_calculated	SNORD114-19_ENSG00000199942	SNORD114-19_ENSG00000199942
SNORD114-2	767578	SNORD114-2	SNORD114-2	ENSG00000200823	32990	14	14q32.31	"small nucleolar RNA, C/D box 114-2"	snoRNA	SNORD114-2|767578_calculated	merged_SNORD114-2|767578_calculated	SNORD114-2_ENSG00000200823	SNORD114-2_ENSG00000200823
SNORD114-20	767598	SNORD114-20	SNORD114-20	ENSG00000202048	33008	14	14q32.31	"small nucleolar RNA, C/D box 114-20"	snoRNA	SNORD114-20|767598_calculated	merged_SNORD114-20|767598_calculated	SNORD114-20_ENSG00000202048	SNORD114-20_ENSG00000202048
SNORD114-22	767600	SNORD114-22	SNORD114-22	ENSG00000202293	33010	14	14q32.31	"small nucleolar RNA, C/D box 114-22"	snoRNA	SNORD114-22|767600_calculated	merged_SNORD114-22|767600_calculated	SNORD114-22_ENSG00000202293	SNORD114-22_ENSG00000202293
SNORD114-23	767603	SNORD114-23	SNORD114-23	ENSG00000200406	33011	14	14q32.31	"small nucleolar RNA, C/D box 114-23"	snoRNA	SNORD114-23|767603_calculated	merged_SNORD114-23|767603_calculated	SNORD114-23_ENSG00000200406	SNORD114-23_ENSG00000200406
SNORD114-24	767604	SNORD114-24	SNORD114-24	ENSG00000201899	33012	14	14q32.31	"small nucleolar RNA, C/D box 114-24"	snoRNA	SNORD114-24|767604_calculated	merged_SNORD114-24|767604_calculated	SNORD114-24_ENSG00000201899	SNORD114-24_ENSG00000201899
SNORD114-25	767605	SNORD114-25	SNORD114-25	ENSG00000200612	33013	14	14q32.31	"small nucleolar RNA, C/D box 114-25"	snoRNA	SNORD114-25|767605_calculated	merged_SNORD114-25|767605_calculated	SNORD114-25_ENSG00000200612	SNORD114-25_ENSG00000200612
